Fold,Set,ringnr
1,train,8118424
1,train,8118425
1,train,8118426
1,train,8118429
1,train,8118430
1,train,8118432
1,train,8118433
1,train,8118435
1,train,8168602
1,train,8168603
1,train,8168605
1,train,8168606
1,train,8168613
1,train,8168614
1,train,8168635
1,train,8168636
1,train,8168639
1,train,8168642
1,train,8168644
1,train,8168648
1,train,8168650
1,train,8168655
1,train,8168665
1,train,8168698
1,train,8168702
1,train,8168709
1,train,8168768
1,train,8168769
1,train,8168772
1,train,8309128
1,train,8309135
1,train,8309141
1,train,8309143
1,train,8309155
1,train,8309156
1,train,8309158
1,train,8309159
1,train,8309164
1,train,8309171
1,train,8309173
1,train,8309175
1,train,8309182
1,train,8309190
1,train,8309191
1,train,8309195
1,train,8309197
1,train,8309251
1,train,8309252
1,train,8309254
1,train,8309263
1,train,8309267
1,train,8309272
1,train,8309274
1,train,8309277
1,train,8309283
1,train,8309285
1,train,8309287
1,train,8309291
1,train,8414501
1,train,8414806
1,train,8537612
1,train,8537700
1,train,8573156
1,train,8573187
1,train,8573221
1,train,8573515
1,train,8573572
1,train,8573603
1,train,8573606
1,train,8573683
1,train,8573856
1,train,8573864
1,train,8573872
1,train,8573874
1,train,8573896
1,train,8573966
1,train,8598501
1,train,8598568
1,train,8598602
1,train,8598614
1,train,8598887
1,train,8598907
1,train,8651522
1,train,8651534
1,train,8651539
1,train,8651543
1,train,8651548
1,train,8651576
1,train,8651621
1,train,8651658
1,train,8651695
1,train,8651701
1,train,8651728
1,train,8651730
1,train,8651754
1,train,8651761
1,train,8651804
1,train,8651860
1,train,8651869
1,train,8651870
1,train,8651875
1,train,8651876
1,train,8651878
1,train,8651883
1,train,8651899
1,train,8651948
1,train,8651952
1,train,8651979
1,train,8651997
1,train,8651998
1,train,8668476
1,train,8668490
1,train,8681001
1,train,8681003
1,train,8681005
1,train,8681008
1,train,8681009
1,train,8681012
1,train,8681020
1,train,8681024
1,train,8681025
1,train,8681027
1,train,8681028
1,train,8681029
1,train,8681033
1,train,8681034
1,train,8681037
1,train,8681038
1,train,8681040
1,train,8681041
1,train,8681042
1,train,8681044
1,train,8681052
1,train,8681053
1,train,8681054
1,train,8681055
1,train,8681056
1,train,8681057
1,train,8681058
1,train,8681059
1,train,8681073
1,train,8681074
1,train,8681075
1,train,8681076
1,train,8681077
1,train,8681081
1,train,8681095
1,train,8681097
1,train,8681098
1,train,8681169
1,train,8681175
1,train,8681183
1,train,8681184
1,train,8681190
1,train,8681200
1,train,8681251
1,train,8681254
1,train,8681258
1,train,8681259
1,train,8681260
1,train,8681261
1,train,8681308
1,train,8681309
1,train,8681317
1,train,8681355
1,train,8681356
1,train,8681370
1,train,8681371
1,train,8681374
1,train,8681397
1,train,8681403
1,train,8681409
1,train,8681414
1,train,8681415
1,train,8681419
1,train,8681422
1,train,8681423
1,train,8681436
1,train,8681454
1,train,8681462
1,train,8681464
1,train,8681466
1,train,8730413
1,train,8730417
1,train,8730418
1,train,8730421
1,train,8730436
1,train,8730437
1,train,8730439
1,train,8730442
1,train,8730443
1,train,8730453
1,train,8730454
1,train,8730486
1,train,8730493
1,train,8730496
1,train,8730497
1,train,8730503
1,train,8730506
1,train,8730509
1,train,8730517
1,train,8730518
1,train,8730535
1,train,8730537
1,train,8730584
1,train,8730902
1,train,8730969
1,train,8730979
1,train,8730981
1,train,8730987
1,train,8730993
1,train,8730998
1,train,8732211
1,train,8732247
1,train,8732249
1,train,8732255
1,train,8732293
1,train,8732294
1,train,8732552
1,train,8732637
1,train,8732641
1,train,8732644
1,train,8732646
1,train,8732647
1,train,8732648
1,train,8732649
1,train,8732651
1,train,8732653
1,train,8732656
1,train,8732659
1,train,8732660
1,train,8732676
1,train,8732678
1,train,8732680
1,train,8732685
1,train,8732691
1,train,8732695
1,train,8732696
1,train,8732697
1,train,8732699
1,train,8732700
1,train,8747100
1,train,8747101
1,train,8747102
1,train,8747104
1,train,8747114
1,train,8747117
1,train,8747118
1,train,8747222
1,train,8747223
1,train,8747224
1,train,8747227
1,train,8747234
1,train,8747239
1,train,8747256
1,train,8747258
1,train,8747259
1,train,8747260
1,train,8747263
1,train,8747365
1,train,8747366
1,train,8747369
1,train,8747373
1,train,8747399
1,train,8747406
1,train,8747410
1,train,8747417
1,train,8747424
1,train,8747517
1,train,8747518
1,train,8747519
1,train,8747520
1,train,8747532
1,train,8747534
1,train,8747548
1,train,8747549
1,train,8747551
1,train,8747552
1,train,8747563
1,train,8747564
1,train,8747603
1,train,8747604
1,train,8747606
1,train,8747608
1,train,8747609
1,train,8747623
1,train,8747636
1,train,8747691
1,train,8747692
1,train,8747693
1,train,8747694
1,train,8747698
1,train,8747699
1,train,8747705
1,train,8747720
1,train,8747722
1,train,8747725
1,train,8747726
1,train,8747729
1,train,8747740
1,train,8747741
1,train,8747756
1,train,8747757
1,train,8747758
1,train,8747759
1,train,8747760
1,train,8747764
1,train,8747777
1,train,8747781
1,train,8747799
1,train,8747805
1,train,8747808
1,train,8747809
1,train,8747813
1,train,8747872
1,train,8747878
1,train,8747900
1,train,8747901
1,train,8747936
1,train,8747948
1,train,8747974
1,train,8747976
1,train,8747979
1,train,8794302
1,train,8794305
1,train,8794306
1,train,8794307
1,train,8794368
1,train,8794375
1,train,8800021
1,train,8800023
1,train,8800025
1,train,8800027
1,train,8800028
1,train,8800029
1,train,8800031
1,train,8800035
1,train,8800038
1,train,8800045
1,train,8800046
1,train,8800059
1,train,8800060
1,train,8800061
1,train,8800066
1,train,8800073
1,train,8800074
1,train,8800075
1,train,8800077
1,train,8800090
1,train,8800091
1,train,8800095
1,train,8800101
1,train,8800102
1,train,8800104
1,train,8800166
1,train,8800168
1,train,8800170
1,train,8800175
1,train,8800178
1,train,8800179
1,train,8800181
1,train,8800185
1,train,8800196
1,train,8800199
1,train,8800303
1,train,8800307
1,train,8800314
1,train,8800321
1,train,8800352
1,train,8800353
1,train,8800354
1,train,8800355
1,train,8800356
1,train,8800371
1,train,8800372
1,train,8800375
1,train,8800376
1,train,8800390
1,train,8800395
1,train,8800404
1,train,8800405
1,train,8800416
1,train,8800417
1,train,8800426
1,train,8800427
1,train,8800428
1,train,8800436
1,train,8800439
1,train,8800441
1,train,8800467
1,train,8800468
1,train,8800469
1,train,8800477
1,train,8800478
1,train,8800482
1,train,8800488
1,train,8800495
1,train,8800497
1,train,8800512
1,train,8800515
1,train,8800519
1,train,8800529
1,train,8800533
1,train,8800535
1,train,8800537
1,train,8800538
1,train,8800550
1,train,8800567
1,train,8800574
1,train,8800592
1,train,8800612
1,train,8800613
1,train,8800614
1,train,8800615
1,train,8800616
1,train,8800617
1,train,8800936
1,train,8816408
1,train,8816409
1,train,8816427
1,train,8816428
1,train,8816452
1,train,8816455
1,train,8816456
1,train,8816467
1,train,8816491
1,train,8816495
1,train,8816496
1,train,8816497
1,train,8816901
1,train,8816918
1,train,8816921
1,train,8816929
1,train,8816931
1,train,8816932
1,train,8816937
1,train,8816940
1,train,8816943
1,train,8816947
1,train,8816948
1,train,8816953
1,train,8816954
1,train,8816955
1,train,8816956
1,train,8816959
1,train,8816963
1,train,8857202
1,train,8857208
1,train,8857215
1,train,8857220
1,train,8857226
1,train,8857230
1,train,8857231
1,train,8857232
1,train,8857233
1,train,8857237
1,train,8857243
1,train,8857246
1,train,8857249
1,train,8857252
1,train,8857274
1,train,8857275
1,train,8857276
1,train,8857277
1,train,8857278
1,train,8857279
1,train,8857285
1,train,8857401
1,train,8857405
1,train,8857407
1,train,8857415
1,train,8857730
1,train,8857739
1,train,8857754
1,train,8857778
1,train,8857780
1,train,8866718
1,train,8866741
1,train,8866745
1,train,8866754
1,train,8866773
1,train,8866786
1,train,8866789
1,train,8866790
1,train,8866791
1,train,8866792
1,train,8866800
1,train,8887035
1,train,8887130
1,train,8887205
1,train,8887206
1,train,8887210
1,train,8887211
1,train,8887220
1,train,8887230
1,train,8887232
1,train,8887233
1,train,8887238
1,train,8887245
1,train,8887249
1,train,8887264
1,train,8887266
1,train,8887267
1,train,8887278
1,train,8887279
1,train,8887283
1,train,8887286
1,train,8887315
1,train,8887316
1,train,8887319
1,train,8887324
1,train,8887335
1,train,8887341
1,train,8887342
1,train,8887344
1,train,8887346
1,train,8887357
1,train,8887358
1,train,8887360
1,train,8887370
1,train,8887373
1,train,8887399
1,train,8887406
1,train,8887408
1,train,8887411
1,train,8887414
1,train,8887416
1,train,8887421
1,train,8887448
1,train,8887450
1,train,8887451
1,train,8887462
1,train,8887472
1,train,8887481
1,train,8887488
1,train,8887490
1,train,8904654
1,train,8904661
1,train,8934027
1,train,8934028
1,train,8934039
1,train,8934058
1,train,8934064
1,train,8934066
1,train,8934069
1,train,8934077
1,train,8934087
1,train,8934095
1,train,8934215
1,train,8934217
1,train,8934219
1,train,8934224
1,train,8934225
1,train,8934227
1,train,8934228
1,train,8934231
1,train,8934236
1,train,8934302
1,train,8934304
1,train,8934311
1,train,8934313
1,train,8934329
1,train,8934333
1,train,8934338
1,train,8934339
1,train,8934343
1,train,8934353
1,train,8934354
1,train,8934355
1,train,8934364
1,train,8934368
1,train,8934369
1,train,8934373
1,train,8934374
1,train,8934375
1,train,8934376
1,train,8934380
1,train,8934451
1,train,8934458
1,train,8934459
1,train,8934460
1,train,8934471
1,train,8934473
1,train,8934474
1,train,8934475
1,train,8934484
1,train,8934497
1,train,8934499
1,train,8934514
1,train,8934532
1,train,8934547
1,train,8934596
1,train,8934600
1,train,8934801
1,train,8934805
1,train,8934854
1,train,8934855
1,train,8934875
1,train,8934880
1,train,8934884
1,train,8934893
1,train,8939024
1,train,8939034
1,train,8939037
1,train,8939038
1,train,8939052
1,train,8939076
1,train,8939085
1,train,8939086
1,train,8939093
1,train,8939095
1,train,8939097
1,train,8939101
1,train,8939118
1,train,8939119
1,train,8939121
1,train,8939122
1,train,8939124
1,train,8939125
1,train,8939139
1,train,8939150
1,train,8939151
1,train,8939157
1,train,8939158
1,train,8939159
1,train,8939163
1,train,8939164
1,train,8939180
1,train,8939181
1,train,8939184
1,train,8939196
1,train,8939197
1,train,8939199
1,train,8939352
1,train,8939353
1,train,8939391
1,train,8939419
1,train,8939431
1,train,8939442
1,train,8939460
1,train,8939475
1,train,8939491
1,train,8939492
1,train,8939519
1,train,8939533
1,train,8939534
1,train,8939535
1,train,8939538
1,train,8939539
1,train,8939542
1,train,8939551
1,train,8939574
1,train,8939578
1,train,8939582
1,train,8939584
1,train,8939595
1,train,8939602
1,train,8939607
1,train,8939608
1,train,8939611
1,train,8939615
1,train,8939619
1,train,8939630
1,train,8939704
1,train,8939705
1,train,8939733
1,train,8939745
1,train,8939746
1,train,8939747
1,train,8939749
1,train,8939750
1,train,8939762
1,train,8939763
1,train,8939764
1,train,8939768
1,train,8939824
1,train,8939897
1,train,8939898
1,train,8939899
1,train,8943009
1,train,8943012
1,train,8943014
1,train,8943023
1,train,8943025
1,train,8943039
1,train,8943064
1,train,8943067
1,train,8943080
1,train,8943082
1,train,8943083
1,train,8943103
1,train,8943105
1,train,8943106
1,train,8943109
1,train,8943110
1,train,8943113
1,train,8943129
1,train,8943135
1,train,8943141
1,train,8943142
1,train,8943168
1,train,8943402
1,train,8943429
1,train,8943458
1,train,8943459
1,train,8943469
1,train,8943470
1,train,8943473
1,train,8943474
1,train,8943475
1,train,8943484
1,train,8943485
1,train,8943486
1,train,8943578
1,train,8943587
1,train,8943735
1,train,8943743
1,train,8943752
1,train,8943761
1,train,8943801
1,train,8943802
1,train,8943803
1,train,8943805
1,train,8943829
1,train,8943837
1,train,8943880
1,train,8943882
1,train,8943892
1,train,8943894
1,train,8981005
1,train,8981007
1,train,8981009
1,train,8981012
1,train,8981018
1,train,8981020
1,train,8981021
1,train,8981024
1,train,8981025
1,train,8981026
1,train,8981029
1,train,8981030
1,train,8981031
1,train,8981033
1,train,8981036
1,train,8981038
1,train,8981248
1,train,8981253
1,train,8981264
1,train,8981265
1,train,8981266
1,train,8981267
1,train,8981268
1,train,8981270
1,train,8981272
1,train,8981274
1,train,8981277
1,train,8981278
1,train,8981280
1,train,8981281
1,train,8981289
1,train,8981290
1,train,8981293
1,train,8981310
1,train,8981325
1,train,8981536
1,train,8981545
1,train,8981582
1,train,8981601
1,train,8981602
1,train,8981605
1,train,8981606
1,train,8981607
1,train,8981608
1,train,8981609
1,train,8981657
1,train,8981701
1,train,8981702
1,train,8981703
1,train,8981704
1,train,8981707
1,train,8981711
1,train,8981714
1,train,8981715
1,train,8981722
1,train,8981723
1,train,8981733
1,train,8981734
1,train,8981741
1,train,8981773
1,train,8981774
1,train,8981792
1,train,8981801
1,train,8981802
1,train,8981803
1,train,8981804
1,train,8981805
1,train,8981807
1,train,8981820
1,train,8981822
1,train,8981823
1,train,8981824
1,train,8981850
1,train,8981856
1,train,8981857
1,train,8981858
1,train,8981861
1,train,8981923
1,train,8981928
1,train,8981944
1,train,8981945
1,train,8981955
1,train,8981962
1,train,8981965
1,train,8981971
1,train,8981972
1,train,8L19505
1,train,8L19506
1,train,8L19540
1,train,8L19568
1,train,8L19569
1,train,8L19595
1,train,8L19656
1,train,8L19661
1,train,8L19693
1,train,8L19722
