Fold,Set,ringnr
1,train,8118424
1,train,8118425
1,train,8118426
1,train,8118429
1,train,8118430
1,train,8118432
1,train,8118433
1,train,8118435
1,train,8168602
1,train,8168603
1,train,8168605
1,train,8168606
1,train,8168613
1,train,8168614
1,train,8168617
1,train,8168632
1,train,8168636
1,train,8168638
1,train,8168639
1,train,8168642
1,train,8168644
1,train,8168648
1,train,8168649
1,train,8168650
1,train,8168658
1,train,8168660
1,train,8168661
1,train,8168665
1,train,8168698
1,train,8168702
1,train,8168709
1,train,8168768
1,train,8168769
1,train,8168771
1,train,8168772
1,train,8309128
1,train,8309135
1,train,8309141
1,train,8309143
1,train,8309155
1,train,8309156
1,train,8309158
1,train,8309159
1,train,8309164
1,train,8309165
1,train,8309175
1,train,8309182
1,train,8309190
1,train,8309191
1,train,8309195
1,train,8309251
1,train,8309252
1,train,8309254
1,train,8309260
1,train,8309263
1,train,8309266
1,train,8309267
1,train,8309269
1,train,8309272
1,train,8309274
1,train,8309277
1,train,8309285
1,train,8309287
1,train,8309288
1,train,8309291
1,train,8309298
1,train,8414527
1,train,8414806
1,train,8537612
1,train,8537700
1,train,8537728
1,train,8537761
1,train,8537770
1,train,8537774
1,train,8573156
1,train,8573187
1,train,8573221
1,train,8573281
1,train,8573515
1,train,8573521
1,train,8573567
1,train,8573603
1,train,8573606
1,train,8573608
1,train,8573682
1,train,8573683
1,train,8573752
1,train,8573815
1,train,8573856
1,train,8573872
1,train,8573874
1,train,8573896
1,train,8573915
1,train,8573966
1,train,8573989
1,train,8598501
1,train,8598568
1,train,8598579
1,train,8598591
1,train,8598592
1,train,8598599
1,train,8598602
1,train,8598614
1,train,8598631
1,train,8598728
1,train,8598790
1,train,8598887
1,train,8598907
1,train,8651511
1,train,8651512
1,train,8651514
1,train,8651522
1,train,8651534
1,train,8651539
1,train,8651543
1,train,8651548
1,train,8651576
1,train,8651600
1,train,8651621
1,train,8651658
1,train,8651665
1,train,8651695
1,train,8651701
1,train,8651717
1,train,8651730
1,train,8651743
1,train,8651754
1,train,8651761
1,train,8651772
1,train,8651778
1,train,8651783
1,train,8651784
1,train,8651786
1,train,8651790
1,train,8651795
1,train,8651804
1,train,8651860
1,train,8651869
1,train,8651870
1,train,8651875
1,train,8651876
1,train,8651878
1,train,8651882
1,train,8651883
1,train,8651884
1,train,8651899
1,train,8651903
1,train,8651907
1,train,8651929
1,train,8651942
1,train,8651948
1,train,8651975
1,train,8651979
1,train,8668476
1,train,8668482
1,train,8668490
1,train,8681002
1,train,8681003
1,train,8681005
1,train,8681008
1,train,8681017
1,train,8681020
1,train,8681024
1,train,8681028
1,train,8681029
1,train,8681032
1,train,8681034
1,train,8681038
1,train,8681041
1,train,8681042
1,train,8681044
1,train,8681052
1,train,8681053
1,train,8681054
1,train,8681056
1,train,8681057
1,train,8681058
1,train,8681059
1,train,8681060
1,train,8681062
1,train,8681063
1,train,8681065
1,train,8681066
1,train,8681067
1,train,8681068
1,train,8681069
1,train,8681070
1,train,8681071
1,train,8681073
1,train,8681074
1,train,8681075
1,train,8681076
1,train,8681077
1,train,8681079
1,train,8681081
1,train,8681095
1,train,8681097
1,train,8681098
1,train,8681132
1,train,8681138
1,train,8681169
1,train,8681175
1,train,8681181
1,train,8681183
1,train,8681184
1,train,8681190
1,train,8681200
1,train,8681236
1,train,8681237
1,train,8681240
1,train,8681247
1,train,8681248
1,train,8681249
1,train,8681251
1,train,8681254
1,train,8681258
1,train,8681259
1,train,8681260
1,train,8681261
1,train,8681268
1,train,8681287
1,train,8681290
1,train,8681300
1,train,8681308
1,train,8681309
1,train,8681317
1,train,8681324
1,train,8681331
1,train,8681335
1,train,8681336
1,train,8681355
1,train,8681356
1,train,8681361
1,train,8681370
1,train,8681371
1,train,8681374
1,train,8681384
1,train,8681385
1,train,8681393
1,train,8681396
1,train,8681397
1,train,8681403
1,train,8681409
1,train,8681415
1,train,8681419
1,train,8681420
1,train,8681422
1,train,8681423
1,train,8681436
1,train,8681454
1,train,8681462
1,train,8681464
1,train,8681469
1,train,8681473
1,train,8681476
1,train,8681477
1,train,8681485
1,train,8681486
1,train,8730413
1,train,8730417
1,train,8730418
1,train,8730421
1,train,8730436
1,train,8730437
1,train,8730439
1,train,8730442
1,train,8730443
1,train,8730445
1,train,8730447
1,train,8730448
1,train,8730451
1,train,8730458
1,train,8730459
1,train,8730460
1,train,8730461
1,train,8730462
1,train,8730493
1,train,8730496
1,train,8730498
1,train,8730503
1,train,8730506
1,train,8730509
1,train,8730517
1,train,8730535
1,train,8730537
1,train,8730543
1,train,8730545
1,train,8730547
1,train,8730548
1,train,8730551
1,train,8730552
1,train,8730553
1,train,8730554
1,train,8730558
1,train,8730563
1,train,8730564
1,train,8730565
1,train,8730584
1,train,8730902
1,train,8730922
1,train,8730927
1,train,8730928
1,train,8730931
1,train,8730932
1,train,8730938
1,train,8730943
1,train,8730945
1,train,8730951
1,train,8730952
1,train,8730957
1,train,8730959
1,train,8730969
1,train,8730970
1,train,8730972
1,train,8730973
1,train,8730974
1,train,8730979
1,train,8730981
1,train,8730987
1,train,8730993
1,train,8732211
1,train,8732220
1,train,8732223
1,train,8732225
1,train,8732227
1,train,8732235
1,train,8732237
1,train,8732239
1,train,8732240
1,train,8732247
1,train,8732249
1,train,8732255
1,train,8732256
1,train,8732258
1,train,8732261
1,train,8732262
1,train,8732266
1,train,8732279
1,train,8732286
1,train,8732288
1,train,8732292
1,train,8732293
1,train,8732298
1,train,8732300
1,train,8732502
1,train,8732503
1,train,8732505
1,train,8732506
1,train,8732511
1,train,8732525
1,train,8732541
1,train,8732552
1,train,8732565
1,train,8732570
1,train,8732576
1,train,8732577
1,train,8732579
1,train,8732588
1,train,8732595
1,train,8732598
1,train,8732600
1,train,8732602
1,train,8732605
1,train,8732610
1,train,8732615
1,train,8732620
1,train,8732621
1,train,8732625
1,train,8732626
1,train,8732637
1,train,8732641
1,train,8732644
1,train,8732646
1,train,8732647
1,train,8732648
1,train,8732649
1,train,8732650
1,train,8732651
1,train,8732654
1,train,8732656
1,train,8732659
1,train,8732660
1,train,8732666
1,train,8732667
1,train,8732671
1,train,8732672
1,train,8732678
1,train,8732680
1,train,8732681
1,train,8732685
1,train,8732687
1,train,8732690
1,train,8732695
1,train,8732696
1,train,8732697
1,train,8732698
1,train,8732699
1,train,8732700
1,train,8747010
1,train,8747026
1,train,8747038
1,train,8747062
1,train,8747088
1,train,8747101
1,train,8747102
1,train,8747103
1,train,8747104
1,train,8747114
1,train,8747117
1,train,8747118
1,train,8747120
1,train,8747121
1,train,8747135
1,train,8747144
1,train,8747145
1,train,8747158
1,train,8747161
1,train,8747216
1,train,8747218
1,train,8747222
1,train,8747223
1,train,8747224
1,train,8747225
1,train,8747227
1,train,8747229
1,train,8747234
1,train,8747239
1,train,8747256
1,train,8747258
1,train,8747259
1,train,8747260
1,train,8747263
1,train,8747273
1,train,8747274
1,train,8747280
1,train,8747281
1,train,8747286
1,train,8747287
1,train,8747290
1,train,8747293
1,train,8747294
1,train,8747295
1,train,8747308
1,train,8747309
1,train,8747310
1,train,8747365
1,train,8747369
1,train,8747373
1,train,8747374
1,train,8747375
1,train,8747399
1,train,8747406
1,train,8747408
1,train,8747410
1,train,8747417
1,train,8747424
1,train,8747487
1,train,8747492
1,train,8747497
1,train,8747498
1,train,8747504
1,train,8747517
1,train,8747518
1,train,8747519
1,train,8747520
1,train,8747526
1,train,8747529
1,train,8747532
1,train,8747534
1,train,8747544
1,train,8747548
1,train,8747549
1,train,8747551
1,train,8747552
1,train,8747553
1,train,8747554
1,train,8747555
1,train,8747564
1,train,8747569
1,train,8747573
1,train,8747574
1,train,8747575
1,train,8747583
1,train,8747590
1,train,8747599
1,train,8747604
1,train,8747606
1,train,8747608
1,train,8747609
1,train,8747610
1,train,8747623
1,train,8747636
1,train,8747654
1,train,8747657
1,train,8747672
1,train,8747675
1,train,8747689
1,train,8747691
1,train,8747692
1,train,8747693
1,train,8747694
1,train,8747698
1,train,8747701
1,train,8747703
1,train,8747705
1,train,8747711
1,train,8747713
1,train,8747720
1,train,8747722
1,train,8747725
1,train,8747726
1,train,8747728
1,train,8747729
1,train,8747730
1,train,8747732
1,train,8747734
1,train,8747735
1,train,8747736
1,train,8747737
1,train,8747738
1,train,8747739
1,train,8747740
1,train,8747741
1,train,8747742
1,train,8747749
1,train,8747756
1,train,8747758
1,train,8747759
1,train,8747764
1,train,8747777
1,train,8747796
1,train,8747799
1,train,8747805
1,train,8747807
1,train,8747808
1,train,8747809
1,train,8747817
1,train,8747829
1,train,8747862
1,train,8747865
1,train,8747866
1,train,8747868
1,train,8747872
1,train,8747875
1,train,8747878
1,train,8747879
1,train,8747882
1,train,8747884
1,train,8747897
1,train,8747900
1,train,8747901
1,train,8747905
1,train,8747935
1,train,8747936
1,train,8747940
1,train,8747941
1,train,8747948
1,train,8747955
1,train,8747958
1,train,8747974
1,train,8747976
1,train,8747979
1,train,8747993
1,train,8794301
1,train,8794302
1,train,8794305
1,train,8794306
1,train,8794307
1,train,8794309
1,train,8794311
1,train,8794313
1,train,8794322
1,train,8794325
1,train,8794326
1,train,8794339
1,train,8794340
1,train,8794341
1,train,8794342
1,train,8794343
1,train,8794346
1,train,8794352
1,train,8794353
1,train,8794367
1,train,8794368
1,train,8794375
1,train,8800005
1,train,8800012
1,train,8800021
1,train,8800023
1,train,8800025
1,train,8800027
1,train,8800028
1,train,8800029
1,train,8800031
1,train,8800035
1,train,8800038
1,train,8800042
1,train,8800045
1,train,8800046
1,train,8800051
1,train,8800059
1,train,8800063
1,train,8800066
1,train,8800073
1,train,8800074
1,train,8800075
1,train,8800077
1,train,8800090
1,train,8800091
1,train,8800094
1,train,8800095
1,train,8800101
1,train,8800102
1,train,8800104
1,train,8800127
1,train,8800146
1,train,8800147
1,train,8800151
1,train,8800160
1,train,8800163
1,train,8800164
1,train,8800166
1,train,8800168
1,train,8800170
1,train,8800171
1,train,8800175
1,train,8800177
1,train,8800178
1,train,8800179
1,train,8800181
1,train,8800185
1,train,8800196
1,train,8800199
1,train,8800303
1,train,8800307
1,train,8800314
1,train,8800321
1,train,8800330
1,train,8800331
1,train,8800336
1,train,8800338
1,train,8800339
1,train,8800340
1,train,8800341
1,train,8800352
1,train,8800353
1,train,8800354
1,train,8800355
1,train,8800356
1,train,8800368
1,train,8800371
1,train,8800372
1,train,8800375
1,train,8800376
1,train,8800390
1,train,8800391
1,train,8800395
1,train,8800404
1,train,8800405
1,train,8800416
1,train,8800417
1,train,8800422
1,train,8800426
1,train,8800427
1,train,8800428
1,train,8800437
1,train,8800439
1,train,8800441
1,train,8800450
1,train,8800467
1,train,8800468
1,train,8800469
1,train,8800470
1,train,8800477
1,train,8800488
1,train,8800489
1,train,8800495
1,train,8800512
1,train,8800515
1,train,8800519
1,train,8800529
1,train,8800533
1,train,8800535
1,train,8800537
1,train,8800538
1,train,8800547
1,train,8800548
1,train,8800550
1,train,8800567
1,train,8800568
1,train,8800570
1,train,8800574
1,train,8800580
1,train,8800592
1,train,8800606
1,train,8800612
1,train,8800613
1,train,8800614
1,train,8800615
1,train,8800616
1,train,8800698
1,train,8800935
1,train,8800936
1,train,8800937
1,train,8816408
1,train,8816409
1,train,8816418
1,train,8816427
1,train,8816452
1,train,8816456
1,train,8816467
1,train,8816486
1,train,8816491
1,train,8816495
1,train,8816496
1,train,8816497
1,train,8816901
1,train,8816918
1,train,8816921
1,train,8816929
1,train,8816930
1,train,8816940
1,train,8816942
1,train,8816943
1,train,8816947
1,train,8816948
1,train,8816949
1,train,8816953
1,train,8816954
1,train,8816955
1,train,8816956
1,train,8816957
1,train,8816959
1,train,8816963
1,train,8857101
1,train,8857102
1,train,8857103
1,train,8857104
1,train,8857202
1,train,8857208
1,train,8857215
1,train,8857220
1,train,8857223
1,train,8857226
1,train,8857230
1,train,8857231
1,train,8857237
1,train,8857246
1,train,8857249
1,train,8857252
1,train,8857257
1,train,8857261
1,train,8857269
1,train,8857274
1,train,8857275
1,train,8857276
1,train,8857277
1,train,8857278
1,train,8857279
1,train,8857284
1,train,8857401
1,train,8857405
1,train,8857407
1,train,8857415
1,train,8857612
1,train,8857620
1,train,8857730
1,train,8857739
1,train,8857752
1,train,8857754
1,train,8857767
1,train,8857778
1,train,8857780
1,train,8857946
1,train,8866658
1,train,8866710
1,train,8866718
1,train,8866741
1,train,8866745
1,train,8866751
1,train,8866754
1,train,8866779
1,train,8866786
1,train,8866789
1,train,8866790
1,train,8866791
1,train,8866792
1,train,8866795
1,train,8866799
1,train,8866800
1,train,8887035
1,train,8887036
1,train,8887130
1,train,8887134
1,train,8887202
1,train,8887205
1,train,8887210
1,train,8887211
1,train,8887220
1,train,8887221
1,train,8887226
1,train,8887230
1,train,8887232
1,train,8887233
1,train,8887238
1,train,8887241
1,train,8887243
1,train,8887245
1,train,8887249
1,train,8887264
1,train,8887266
1,train,8887267
1,train,8887272
1,train,8887277
1,train,8887278
1,train,8887279
1,train,8887283
1,train,8887286
1,train,8887290
1,train,8887303
1,train,8887304
1,train,8887305
1,train,8887307
1,train,8887310
1,train,8887314
1,train,8887316
