FID IID mass
8118424 8118424 31.4
8118424 8118424 33.2
8118424 8118424 33.2
8118425 8118425 30.3
8118425 8118425 30.3
8118425 8118425 29.1
8118426 8118426 32.8
8118426 8118426 35
8118426 8118426 33.5
8118426 8118426 33.5
8118426 8118426 33.5
8118426 8118426 31.6
8118429 8118429 31.3
8118430 8118430 29.9
8118430 8118430 29.9
8118432 8118432 30.4
8118432 8118432 33.4
8118433 8118433 28.5
8118433 8118433 NA
8118435 8118435 27.6
8118435 8118435 30.1
8118437 8118437 30.6
8118437 8118437 30.6
8118437 8118437 30
8118437 8118437 30.1
8168602 8168602 32.2
8168602 8168602 34.9
8168603 8168603 32.2
8168603 8168603 31.7
8168605 8168605 30.1
8168605 8168605 29.8
8168606 8168606 33.3
8168606 8168606 31.3
8168613 8168613 30.9
8168614 8168614 31.4
8168615 8168615 29.4
8168617 8168617 34
8168632 8168632 28.3
8168634 8168634 29.9
8168634 8168634 30.4
8168634 8168634 31.3
8168634 8168634 30
8168634 8168634 31
8168634 8168634 NA
8168634 8168634 29.5
8168635 8168635 30.2
8168636 8168636 32
8168637 8168637 36.3
8168637 8168637 32.7
8168637 8168637 35
8168637 8168637 30.2
8168637 8168637 31.4
8168638 8168638 35.9
8168638 8168638 33.3
8168638 8168638 34
8168638 8168638 34.7
8168638 8168638 35.3
8168639 8168639 34.3
8168639 8168639 27.6
8168642 8168642 27.2
8168644 8168644 28.5
8168648 8168648 31.2
8168648 8168648 31.3
8168649 8168649 35.9
8168650 8168650 32.7
8168650 8168650 35.1
8168654 8168654 33.3
8168654 8168654 34.3
8168654 8168654 33.3
8168655 8168655 32.9
8168656 8168656 31.3
8168656 8168656 33.3
8168656 8168656 32.2
8168657 8168657 33.2
8168658 8168658 31
8168659 8168659 32.6
8168659 8168659 33.4
8168660 8168660 32.8
8168661 8168661 30.6
8168662 8168662 34.3
8168663 8168663 33.1
8168665 8168665 29.3
8168683 8168683 31.3
8168683 8168683 34.3
8168684 8168684 33.7
8168684 8168684 33.1
8168692 8168692 29.6
8168692 8168692 32.7
8168692 8168692 32.4
8168693 8168693 32
