FID IID thr_wing
8118424 8118424 81.03
8118424 8118424 82.38
8118424 8118424 81.31
8118425 8118425 77.38
8118425 8118425 75.03
8118425 8118425 77.38
8118426 8118426 79
8118426 8118426 79.03
8118426 8118426 80.09
8118426 8118426 81
8118426 8118426 79.31
8118426 8118426 79.43
8118429 8118429 80.85
8118430 8118430 79
8118430 8118430 79.05
8118432 8118432 79.38
8118432 8118432 81.86
8118433 8118433 79.86
8118433 8118433 79.29
8118435 8118435 75.85
8118435 8118435 79.43
8118437 8118437 83.38
8118437 8118437 82.03
8118437 8118437 82.38
8118437 8118437 82.85
8168602 8168602 77.86
8168602 8168602 76.86
8168603 8168603 81.86
8168603 8168603 82.86
8168605 8168605 82.86
8168605 8168605 82.83
8168606 8168606 80.86
8168606 8168606 80.83
8168613 8168613 79.26
8168614 8168614 76.91
8168615 8168615 80.83
8168617 8168617 80.86
8168632 8168632 78
8168634 8168634 82.86
8168634 8168634 81.86
8168634 8168634 83.86
8168634 8168634 83
8168634 8168634 84
8168634 8168634 85.26
8168634 8168634 84.96
8168635 8168635 82
8168636 8168636 80
8168637 8168637 79
8168637 8168637 77.83
8168637 8168637 79
8168637 8168637 78.26
8168637 8168637 79.91
8168638 8168638 85.86
8168638 8168638 86
8168638 8168638 81.91
8168638 8168638 86.91
8168638 8168638 88
8168639 8168639 78
8168639 8168639 80.83
8168642 8168642 79
8168644 8168644 80
8168648 8168648 82
8168648 8168648 81.86
8168649 8168649 74.86
8168650 8168650 78
8168650 8168650 77.86
8168654 8168654 83
8168654 8168654 81.86
8168654 8168654 83.86
8168655 8168655 78
8168656 8168656 77.86
8168656 8168656 77.86
8168656 8168656 79.91
8168657 8168657 79
8168658 8168658 74.86
8168659 8168659 79
8168659 8168659 79.91
8168660 8168660 81.86
8168661 8168661 80
8168662 8168662 80.86
8168663 8168663 76.86
8168665 8168665 74.86
8168683 8168683 80
8168683 8168683 79.86
8168684 8168684 81
8168684 8168684 83.86
8168692 8168692 77
8168692 8168692 78.86
8168692 8168692 80.26
8168693 8168693 79.86
8168698 8168698 80.86
8168702 8168702 82
